FECHA,ESTACION,LATITUD,LONGITUD,ALTITUD,HR101,PT101,TM101,VTMED,ETo_dia,DIAS_EN_MES,ETo_mensual
1970-01-01,ANANEA,-14.676277777777775,-69.53385555555555,4660.0,88.0713282353106,130.21827355676595,4.002684098793661,2.534880042979458,2.782779930200597,31,86.27
1970-01-01,ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865.0,78.83,199.1,13.51,3.5,3.5911867968304643,31,111.33
1970-01-01,ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324.0,85.88,163.5,12.05,3.8,3.2206717980461823,31,99.84
1970-01-01,AYMARAES,-14.291527777777778,-73.25063888888889,2964.0,78.7583263811041,171.76501911695738,15.48533541493137,2.970938887283511,3.8739283175517363,31,120.09
1970-01-01,CANDARAVE,-17.27111111111111,-70.2538888888889,3435.0,73.59785760895443,21.4,10.083502558270746,17.4,3.2621800785949318,31,101.13
1970-01-01,CARAVELI,-15.775680555555557,-73.3625861111111,1755.0,66.84620066264463,5.092880775894278,20.01,3.129476209357094,4.766970387944547,31,147.78
1970-01-01,CAYLLOMA,-15.188827777777778,-71.77019166666666,4327.0,84.3203427187224,208.8,5.64,3.1,2.8794024784681858,31,89.26
1970-01-01,CORA CORA,-15.00595,-73.77916666666667,3200.0,71.32289427030673,176.0,11.006049323816097,12.8,3.5726839552977574,31,110.75
1970-01-01,COTAHUASI,-15.21133611111111,-72.89325277777779,2683.0,70.66,108.1,14.92,8.1,4.202735032355918,31,130.28
1970-01-01,CURPAHUASI,-14.062836111111112,-72.68972222222223,3535.0,91.7682202069528,298.0321832980052,12.340247272257898,15.202410316453388,2.1615744224533193,31,67.01
1970-01-01,GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214.0,76.90671403728902,169.3,12.79,0.9,3.7440512055038755,31,116.07
1970-01-01,GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772.0,81.42726267833365,239.23171238139216,14.70270300816813,0.2603394087554482,3.8483484932765752,31,119.3
1970-01-01,HUAMBO,-15.732005555555556,-72.10692499999999,3312.0,77.94659059099604,50.1,10.423931836355962,0.0089114873289961,3.6278029559225557,31,112.46
1970-01-01,HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890.0,77.37311971953727,156.2,9.76,2.1,3.5071591861952505,31,108.72
1970-01-01,IMATA,-15.842655555555556,-71.09061666666666,4475.0,80.99213364586512,141.6,3.68,7.607039171056199,2.3767533104968166,31,73.68
1970-01-01,LA YARADA,-18.21065,-70.52593333333333,30.0,79.39851896295113,0.1360291586373986,22.40697847186507,5.110717486151877,4.4608284653130195,31,138.29
1970-01-01,MACUSANI,-14.07,-70.43908333333334,4345.0,78.62257833996662,152.82687389977772,5.630197085674894,3.668535579047514,2.9345057832351644,31,90.97
1970-01-01,MAÑAZO,-14.800555555555556,-70.06658333333333,3910.0,69.62364923689597,147.5,9.352803188647684,5.737647402913156,3.5349229916142297,31,109.58
1970-01-01,PAMPA BLANCA,-17.071608333333334,-71.724525,108.0,80.16,0.0,23.21,11.3,4.664607750169491,31,144.6
1970-01-01,PAUCARAY,-14.043783333333334,-73.63881388888889,3238.0,82.03376509251939,223.6948907010728,12.720271638318875,0.0007610325985636,3.7674972417706667,31,116.79
1970-01-01,PIZACOMA,-16.90434722222222,-69.36952777777778,3930.0,66.24,123.8,10.07,3.2,3.79689557020134,31,117.7
1970-01-01,PUCARA,-15.045666666666667,-70.36663888888889,3877.0,69.19440854551033,125.9,10.232029231709404,3.609337152341136,3.184591510815403,31,98.72
1970-01-01,PUNTA ATICO,-16.231741666666665,-73.696375,30.0,77.33,0.0,21.56,25.4,4.907431010100877,31,152.13
1970-01-01,PUNTA COLES,-17.698611111111113,-71.37330555555555,25.0,83.48521038831564,0.0,22.033709354214185,6.1,4.080427458297284,31,126.49
1970-01-01,SANTO TOMAS,-14.399444444444445,-72.0886111111111,3253.0,70.60418067643809,203.1743298930994,13.970293976497878,4.241437187264218,4.026333861150451,31,124.82
1970-01-01,SICUANI,-14.23736111111111,-71.23669444444444,3534.0,73.36,172.3,12.16,11.6,3.64178786286909,31,112.9
1970-01-01,TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317.0,73.49448177306363,267.2855863029196,13.03390903734957,1.604980150787524,3.812272988543581,31,118.18
1970-01-01,UBINAS,-16.372055555555555,-70.85394444444444,3380.0,71.74249487630618,94.9,10.997822630111663,4.783174796895809,3.6383347503578785,31,112.79
1970-02-01,ANANEA,-14.676277777777775,-69.53385555555555,4660.0,88.14571264711104,63.08972041312676,3.9972571826916417,3.297164197672319,2.575234336864191,28,72.11
1970-02-01,ANDAHUAYLAS,-13.64861111111111,-73.36666666666666,2865.0,88.17,52.6,13.46,3.9,3.133135623302344,28,87.73
1970-02-01,ANTA ANCACHURO,-13.472419444444444,-72.2187611111111,3324.0,81.3,126.4,12.22,3.8,3.3359077002929944,28,93.41
1970-02-01,AYMARAES,-14.291527777777778,-73.25063888888889,2964.0,78.5910662238341,125.455040141439,15.64575811699271,2.83890845737181,3.811400159725485,28,106.72
1970-02-01,CANDARAVE,-17.27111111111111,-70.2538888888889,3435.0,65.99733768896976,77.1,10.148335961915407,18.7,3.8087866142208475,28,106.65
1970-02-01,CARAVELI,-15.775680555555557,-73.3625861111111,1755.0,71.37,0.0,19.85,3.8,4.515412527882619,28,126.43
1970-02-01,CAYLLOMA,-15.188827777777778,-71.77019166666666,4327.0,84.73577122051208,217.4,6.34,2.9,2.885094360788624,28,80.78
1970-02-01,CORA CORA,-15.00595,-73.77916666666667,3200.0,69.56047664159587,84.0,11.814462674538674,10.7,3.7752788692295955,28,105.71
1970-02-01,COTAHUASI,-15.21133611111111,-72.89325277777779,2683.0,66.78,59.3,15.73,9.7,4.611622386268776,28,129.13
1970-02-01,CURPAHUASI,-14.062836111111112,-72.68972222222223,3535.0,90.66250633811596,92.0869579385178,12.686471725785095,18.550559785252407,2.1292331026969253,28,59.62
1970-02-01,GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214.0,76.14336643992118,92.6,13.15,1.1,3.6872828485841413,28,103.24
1970-02-01,GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772.0,84.0829799108679,133.8653659160725,14.804917506195814,0.2766298319108425,3.7556811195596778,28,105.16
1970-02-01,HUAMBO,-15.732005555555556,-72.10692499999999,3312.0,74.26372145990808,96.5,11.028070171969803,0.675674537344543,3.5557744087959535,28,99.56
1970-02-01,HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890.0,79.36116413450577,154.7,9.99,2.5,3.3529641509440995,28,93.88
1970-02-01,IMATA,-15.842655555555556,-71.09061666666666,4475.0,78.90805829141846,87.3,4.08,8.059150970644017,2.4171479560005023,28,67.68
1970-02-01,LA YARADA,-18.21065,-70.52593333333333,30.0,81.60879245198203,0.3957998410573227,22.62390114434424,5.486125236071182,4.202699280984575,28,117.68
1970-02-01,MACUSANI,-14.07,-70.43908333333334,4345.0,78.59635604343057,78.06679744833296,5.693556423007711,4.016716039045156,2.8460087057681625,28,79.69
1970-02-01,MAÑAZO,-14.800555555555556,-70.06658333333333,3910.0,68.25074025987146,106.6,9.782377609462536,5.807395633322139,3.5814540549782046,28,100.28
