escala,n_validos,n_faltantes,media,desviacion,minimo,maximo
nspei_12,17836,308,5.917572500565021e-8,0.9806519161958976,-2.313507508804638,2.313507508804642
nspei_3,18088,56,-1.1114759058035425e-7,0.9808914911642889,-2.313507508804638,2.313507508804642
nspei_6,18004,140,1.3835396471235705e-9,0.9808128254580071,-2.313507508804638,2.313507508804642
