cluster_ward,escala,n_eventos,duracion_media,duracion_mediana,severidad_media,severidad_mediana,intensidad_media,minimo_medio
1,nspei_12,188,22.77659574468085,17,21.65404642524892,17.22719265716625,0.9179956608581817,-1.6846289511535317
2,nspei_12,49,29.93877551020408,24,27.977064496749403,23.65425389477778,0.9474669300020678,-1.737834749301039
3,nspei_12,15,59.733333333333334,48,58.80846667016741,38.475206509488636,0.9496443466662265,-1.8225993182929694
1,nspei_3,584,6.9006849315068495,6,6.699552871648157,5.1469038338388495,0.9431095142239284,-1.6084451696695719
2,nspei_3,152,9.026315789473685,7,8.730263680775195,5.871643414425198,0.9184851832805532,-1.5995788386641152
3,nspei_3,61,16.37704918032787,13,15.305835370687465,9.717156723312076,0.880320497174957,-1.6507826408883195
1,nspei_6,377,11.053050397877984,10,10.64494046373242,8.37955709020264,0.924659486273993,-1.6640570980272154
2,nspei_6,97,13.907216494845361,11,13.640512544561851,11.015286515926732,0.9519629632029485,-1.6537811014966677
3,nspei_6,33,29.666666666666668,21,28.1038714330636,16.48031491544574,0.8599639482846692,-1.6470614069326264
