cluster_label,PC1,PC2,n
Cluster 1 (n = 18),-2.3199246564547904,-0.10916218913568414,18
Cluster 2 (n = 6),3.2063741571668056,2.0379613789970303,6
Cluster 3 (n = 4),5.630099718296349,-2.5657122173849656,4
