cluster_ward,n_estaciones,altitud_media,ppt_anual_media,frac_djfm_media,cv_mensual_media
1,18,3635,747.2084849652965,0.7248288228040985,0.9373426457440183
2,6,2960.8333333333335,258.26965776870344,0.8822721716952071,1.3731827121777616
3,4,48.25,5.511954139671369,0.36617310696479544,0.6834226637564872
