indicador,valor
archivo_entrada,Base_Datos_Final_ETo_Pivot.csv
md5_base,7235b7dc7b685f99cfb62ede8d744cf5
n_registros,18144
n_estaciones,28
fecha_inicio,1970-01-01
fecha_fin,2023-12-01
n_variables_cluster,16
distancia,Euclidiana
metodo_clustering,Ward.D2
semilla_gap,123
bootstrap_gap,100
k_gap,7
k_adoptado,3
tamano_cluster_1,18
tamano_cluster_2,6
tamano_cluster_3,4
coincidencias_ward_pam,27
total_ward_pam,28
porcentaje_concordancia,96.4286
estaciones_discrepantes,IMATA
altitud_pucara,3877
