"cluster","u","v","duracion_sim_continua","duracion_sim_meses","severidad_sim"
1,0.507925751956946,0.615062465185732,5.87191205984566,6,6.26562579850901
1,0.324283585393098,0.428682330638281,4.41865732369476,4,4.44819879410347
1,0.813349956533838,0.876614838669164,9.82967635818093,10,11.9991008836056
1,0.678187610632644,0.593122555656061,7.63655969341702,8,6.00878929086554
1,0.743949684778809,0.618538850873909,8.55898354657157,9,6.30777290753105
1,0.507936469296977,0.348190501251544,5.87200603369611,6,3.83278517182104
1,0.663583473449734,0.316979803208613,7.45624031859589,7,3.60950016311561
1,0.38079857078625,0.385934708088161,4.84138606589055,5,4.11323117208146
1,0.246094447288346,0.342762166967895,3.84474318690028,4,3.79344016291808
1,0.0369503445355787,0.0150103848487706,1.95642320582702,2,1.26712993025992
1,0.595007906807781,0.695389509185188,6.69450401281664,7,7.36647153913191
1,0.156443676778377,0.0837347356671261,3.16229234255107,3,1.9879888196577
1,0.450257833757784,0.213647432411007,5.38610692840467,5,2.90431136648445
1,0.629640533772061,0.559182639539697,7.06344207142297,7,5.63942387059076
1,0.745753046093706,0.748817869027963,8.58740072671846,9,8.29909891093052
1,0.817407425060365,0.762510201307619,9.91818952337298,10,8.57522282454771
1,0.398691801251983,0.112562411779467,4.97845239236295,5,2.20768817487511
1,0.731774747566903,0.509592660834422,8.37211605733065,8,5.15005077604219
1,0.736971521663851,0.807180433789783,8.45084208718295,8,9.62362120005411
1,0.120434649834564,0.303352007959153,2.86169265523498,3,3.514000145085
1,0.791920706469613,0.81559192812296,9.39252752026192,9,9.85277495673749
1,0.0137042267860107,0.051720537868265,1.50067512994085,2,1.71152587623485
1,0.23617001591346,0.401091085460699,3.77150724298375,4,4.22966558036041
1,0.54112062013675,0.384957752010188,6.17059613636357,6,4.10580233151061
1,0.149510188120615,0.0794077366339393,3.10624753782068,3,1.95316804050517
1,0.131615972719686,0.198509493901462,2.95781461637088,3,2.80272274253674
1,0.397998949720102,0.191747820749214,4.97310861301625,5,2.75726461855276
1,0.528282457696404,0.312842070213575,6.05317232223687,6,3.58038644603357
1,0.771512621477931,0.851567242380425,9.01663466202833,9,10.9930975406652
1,0.777296623649427,0.604877150753575,9.11963049365265,9,6.14447192387944
