cluster_ward,n,duracion_min,duracion_mediana,duracion_media,duracion_max,severidad_min,severidad_mediana,severidad_media,severidad_max
1,584,1,6,6.9006849315068495,30,1.0020197122785226,5.1469038338388495,6.699552871648157,44.95103295751976
2,152,2,7,9.026315789473685,55,1.2614369849837763,5.871643414425198,8.730263680775195,73.4015113048824
3,61,3,13,16.37704918032787,66,2.2617200431345497,9.717156723312076,15.305835370687465,86.33660419323034
