Grupo,Variable,Modelo,n,logLik,AIC,BIC,Parametros,Modelo_BIC,Coincide_AIC_BIC
Cluster 1,Duración (D),LN3,584,-1552.8723885056895,3111.744777011379,3124.8544799598635,"-0.15989873742927263, 1.7855318625457035, 0.57958556252421023",LN3,TRUE
Cluster 1,Severidad (S),LN3,584,-1586.2221920080551,3178.4443840161102,3191.5540869645947,"0.43625033765682197, 1.5314677670442969, 0.79114615760755291",LN3,TRUE
Cluster 2,Duración (D),LN3,152,-439.5524745419304,885.1049490838608,894.1765906463996,"1.6623998167309468, 1.640419224254055, 0.84572144099070345",LN3,TRUE
Cluster 2,Severidad (S),LN3,152,-451.8356724634539,909.67134492690775,918.7429864894466,"0.97421176167208445, 1.6112029373706003, 0.94408551760928738",LN3,TRUE
Cluster 3,Duración (D),LN3,61,-218.975375634419,443.950751268838,450.283372861358,"1.9787040737619928, 2.2736463125446238, 0.90228537328083525",LN3,TRUE
Cluster 3,Severidad (S),GPA,61,-215.77141659300588,437.54283318601176,443.8754547785317,"2.2617200429292685, 9.9128643565969714, -0.24338877298658423",GPA,TRUE
