Grupo,Variable,Modelo,n,Dmax_CDF,RMSE_CDF
Cluster 1,Duración (D),LN3,584,0.07437703305941007,0.02987432752851958
Cluster 1,Severidad (S),LN3,584,0.028595406194236617,0.01065637913099714
Cluster 2,Duración (D),LN3,152,0.07856127599749285,0.03319628206758165
Cluster 2,Severidad (S),LN3,152,0.051617822932402135,0.017944523219077243
Cluster 3,Duración (D),LN3,61,0.06348131483841118,0.032453148820802455
Cluster 3,Severidad (S),GPA,61,0.08068362040876642,0.03789169676375041
