Grupo,Variable,Modelo,q50,q75,q90,q95
Cluster 1,Duración (D),LN3,5.802851730581354,8.655115084325969,12.372292683762225,15.309522890418949
Cluster 1,Severidad (S),LN3,5.061210544697586,8.322240131619337,13.184096946303447,17.429010725842353
Cluster 2,Duración (D),LN3,6.819730954130111,10.78586483117617,16.907449828494485,22.390850875322826
Cluster 2,Severidad (S),LN3,5.983044679221344,10.442791700633219,17.769480272310822,24.64130056945242
Cluster 3,Duración (D),LN3,11.693463433425736,19.832721496011178,32.85446824850064,44.83161952784055
Cluster 3,Severidad (S),GPA,9.74639912983761,18.606537523680167,32.86569248295736,45.97446289469263
