"cluster","d","s","dist_d","dist_s","copula","parametro_copula","u","v","Cuv","p_joint","P(D > d | S > s)","P(S > s | D > d)"
1,12,12.9034894308714,"LN3","LN3","Gaussian","rho.1=0.903663",0.890561433487414,0.894973125793633,0.860540498103648,0.0750059388226013,0.714159489077263,0.685370260345794
2,17.9,17.8835451285592,"LN3","LN3","Gumbel","alpha=3.456922",0.912471492213538,0.901252444940186,0.886850551056788,0.0731266139030637,0.740541007407922,0.835460534543401
3,28,34.8861310466579,"LN3","GPA","Gumbel","alpha=3.801567",0.862576954889892,0.910841708017564,0.857085334582757,0.0836666716753008,0.938405949855826,0.608825627523129
