"cluster","marginal_duracion","marginal_severidad","n","n_recortes_u","n_recortes_v","min_u","max_u","min_v","max_v"
1,"LN3","LN3",584,0,0,0.00236568693432701,0.997419377144762,0.00395735263296066,0.997895898176682
2,"LN3","LN3",152,0,0,0.000632834014818625,0.997131107715131,0.00123088780131166,0.997669657327453
3,"LN3","GPA",61,0,1,0.00627092008934586,0.981680795146736,1e-08,0.989957361691722
