"cluster","familia","logLik","AIC","BIC","k","convergio","parametro","familia_bic","bic_min","coincide_aic_bic","tau_kendall_empirico","tau_kendall_modelo","lambda_inferior","lambda_superior"
1,"Gaussian",495.284150871721,-988.568301743443,-984.198400760615,1,TRUE,"rho.1=0.903663","Gaussian",-984.198400760615,TRUE,0.745926034690513,0.718264499571405,0,0
2,"Gumbel",133.143499517476,-264.286999034951,-261.263118514105,1,TRUE,"alpha=3.456922","Gumbel",-261.263118514105,TRUE,0.754729903528395,0.710725338071579,0,0.777974269818042
3,"Gumbel",58.6847448252218,-115.369489650444,-113.25861578627,1,TRUE,"alpha=3.801567","Gumbel",-113.25861578627,TRUE,0.781315985018645,0.736950607464737,0,0.79998753434741
