"cluster","d","s","dist_d","dist_s","copula","parametro_copula","lambda_estacion_anio","u","v","C(u,v)","p_AND","p_OR","T_AND","T_OR"
1,12,12.9034894308714,"LN3","LN3","Gaussian","rho.1=0.903663",0.60082304526749,0.890561433487414,0.894973125793633,0.860540498103648,0.0750059388226013,0.139459501896352,22.1900237203925,11.9345296592328
2,17.9,17.8835451285592,"LN3","LN3","Gumbel","alpha=3.456922",0.469135802469136,0.912471492213538,0.901252444940186,0.886850551056788,0.0731266139030637,0.113149448943212,29.1491542353381,18.8386153646955
3,28,34.8861310466579,"LN3","GPA","Gumbel","alpha=3.801567",0.282407407407407,0.862576954889892,0.910841708017564,0.857085334582757,0.0836666716753008,0.142914665417243,42.3225106921841,24.7769086273923
