"percentil_d","d","percentil_s","s","u","v","Cuv","p_and","p_or","T_and","T_or","cluster","dist_d","dist_s","copula","parametro_copula","n_eventos","n_estaciones","n_anios","lambda_cluster","lambda_estacion_anio"
"P50",6,"P50",5.14690383383885,0.522378361148032,0.509256791890135,0.445248600370952,0.413613447332785,0.554751399629048,4.02400737301151,3.00023319050079,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P50",6,"P75",8.47526441095233,0.522378361148032,0.757655855116503,0.517115439878163,0.237081223613628,0.482884560121837,7.02030947991178,3.44675249344045,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P50",6,"P90",12.9034894308714,0.522378361148032,0.894973125793633,0.522239925035804,0.104888438094139,0.477760074964196,15.8681318159208,3.48372258139939,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P75",8,"P50",5.14690383383885,0.705831891651627,0.509256791890135,0.499276414620278,0.284187731078517,0.500723585379722,5.85663411762133,3.32395679021522,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P75",8,"P75",8.47526441095233,0.705831891651627,0.757655855116503,0.67019598474608,0.206708237977951,0.32980401525392,8.05184920506831,5.04658368201615,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P75",8,"P90",12.9034894308714,0.705831891651627,0.894973125793633,0.70324317182787,0.102438154382611,0.29675682817213,16.247691806583,5.60857713669332,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P90",12,"P50",5.14690383383885,0.890561433487414,0.509256791890135,0.509124960499959,0.10930673512241,0.490875039500041,15.2267246824263,3.39064614762042,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P90",12,"P75",8.47526441095233,0.890561433487414,0.757655855116503,0.751592745397707,0.10337545679379,0.248407254602293,16.1003744337874,6.70022123270338,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P90",12,"P90",12.9034894308714,0.890561433487414,0.894973125793633,0.860540498103648,0.0750059388226013,0.139459501896352,22.1900237203925,11.9345296592328,1,"LN3","LN3","Gaussian","rho.1=0.903663",584,18,54,10.8148148148148,0.60082304526749
"P50",7,"P50",5.8716434144252,0.516202333011956,0.490496443718344,0.431405661792408,0.424706885062108,0.568594338207592,5.01894135070757,3.74885714495136,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P50",7,"P75",10.6643289806215,0.516202333011956,0.757719949451132,0.511404905196518,0.23748262273343,0.488595094803482,8.97572598295362,4.36266956021276,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P50",7,"P90",17.8835451285592,0.516202333011956,0.901252444940186,0.516037643198057,0.0985828652459152,0.483962356801943,21.6222052590092,4.40443128976816,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P75",12,"P50",5.8716434144252,0.794523963982469,0.490496443718344,0.488484848806322,0.203464441105509,0.511515151193678,10.4764200357893,4.16718633337476,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P75",12,"P75",10.6643289806215,0.794523963982469,0.757719949451132,0.730996438510304,0.178752525076703,0.269003561489696,11.9247487354585,7.92398039477283,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P75",12,"P90",17.8835451285592,0.794523963982469,0.901252444940186,0.791208920577435,0.0954325116547797,0.208791079422565,22.3359828889263,10.2091475999048,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P90",17.9,"P50",5.8716434144252,0.912471492213538,0.490496443718344,0.490412294833858,0.0874443589019759,0.509587705166141,24.3764031680751,4.1829481476078,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P90",17.9,"P75",10.6643289806215,0.912471492213538,0.757719949451132,0.75641216076665,0.0862207191019801,0.24358783923335,24.7223517684564,8.75076093321077,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P90",17.9,"P90",17.8835451285592,0.912471492213538,0.901252444940186,0.886850551056788,0.0731266139030637,0.113149448943212,29.1491542353381,18.8386153646955,2,"LN3","LN3","Gumbel","alpha=3.456922",152,6,54,2.81481481481481,0.469135802469136
"P50",13,"P50",9.71715672331208,0.555610077605407,0.498752071297326,0.459533062204724,0.405170913301991,0.540466937795276,8.73948126655907,6.55171178648243,3,"LN3","GPA","Gumbel","alpha=3.801567",61,4,54,1.12962962962963,0.282407407407407
